REPDTE,ASSET,CERT,INTINC,NETINC,NONII,LNLSNET,DEP,NPERFV,ID
20260331,1175143,12627,17811.0,632.0,1698.0,1029279,895886,4.305603658448376,12627_20260331
20260331,1173908,13055,14698.0,3694.0,1489.0,770512,992753,0.2495936649209307,13055_20260331
20260331,1173282,35412,15154.0,4189.0,1559.0,772815,1011466,0.031961625593847,35412_20260331
20260331,1172965,3337,17560.0,3316.0,1909.0,731827,1028906,0.2480039898888713,3337_20260331
20260331,1168092,9678,16827.0,7199.0,1754.0,893061,1016460,0.230803738061728,9678_20260331
20260331,1166670,57483,12432.0,1649.0,1512.0,604929,1064707,0.0907711692252307,57483_20260331
20260331,1166234,20161,15973.0,6464.0,1359.0,836086,1031768,0.2878496082261364,20161_20260331
20260331,1165512,59183,16251.0,1787.0,72.0,905873,993026,0.6949735395259765,59183_20260331
20260331,1165282,17077,14940.0,2305.0,559.0,833161,1045131,0.1582449570146968,17077_20260331
20260331,1164386,15932,13954.0,3311.0,2010.0,621674,1034963,0.1720219927068858,15932_20260331
20260331,1163513,32718,14521.0,3189.0,1297.0,634735,1047178,0.7882163757517106,32718_20260331
20260331,1161205,25247,12170.0,2152.0,7927.0,530035,390632,0.3930399886324981,25247_20260331
20260331,1161035,9457,13708.0,2391.0,1133.0,736511,961491,0.1526224446291455,9457_20260331
20260331,1160267,20387,16739.0,2479.0,184.0,957462,996322,0.6615718623385825,20387_20260331
20260331,1159601,9359,13450.0,3308.0,2053.0,622742,1027413,0.4977574182843927,9359_20260331
20260331,1156591,7658,9558.0,3921.0,2079.0,504527,972386,0.0,7658_20260331
20260331,1153306,14017,14937.0,3211.0,846.0,941474,997435,0.1069100481572106,14017_20260331
20260331,1152101,7526,16477.0,4146.0,1704.0,890668,985564,0.3006680837877929,7526_20260331
20260331,1150445,16849,15424.0,5332.0,10224.0,799850,998431,1.269856446853174,16849_20260331
20260331,1146168,9888,17435.0,4830.0,2148.0,831707,984386,1.0042157868654509,9888_20260331
20260331,1143103,28778,12476.0,942.0,554.0,859053,897531,0.0153966877875397,28778_20260331
20260331,1142793,19184,11768.0,4866.0,3435.0,624721,1037535,0.1488458539735542,19184_20260331
20260331,1142099,14587,17109.0,1937.0,16763.0,993663,968102,0.4223801964628285,14587_20260331
20260331,1141218,58060,18652.0,6430.0,266.0,917147,811904,1.886843705584735,58060_20260331
20260331,1140558,59276,8961.0,7656.0,16535.0,0,0,0.0,59276_20260331
20260331,1139913,3389,13674.0,2458.0,1507.0,549857,993000,0.9685826900824888,3389_20260331
20260331,1134884,57097,15392.0,3650.0,2327.0,961427,979874,1.114387021052372,57097_20260331
20260331,1133453,34629,4486.0,74531.0,232438.0,0,0,0.0,34629_20260331
20260331,1131558,1497,12315.0,3469.0,607.0,551141,1022636,0.4370080897311494,1497_20260331
20260331,1128929,14209,14341.0,4722.0,1364.0,835975,933012,0.1690097428624829,14209_20260331
